,Image,F1,Jaccard,Recall,Precision
241,1681.png,0.9495472186287193,0.9039408866995073,0.939820742637644,0.9594771241830066
242,750.png,0.7698993595608415,0.6258832279657865,0.6377415687760515,0.9711482977495672
243,1826.png,0.9295865633074936,0.8684369342184671,0.9510905485789821,0.9090334807327859
244,2061.png,0.8644222020018197,0.7612179487179487,0.7648953301127214,0.9937238493723849
245,2858.png,0.9167822468793343,0.8463508322663252,0.8529032258064516,0.9910044977511244
246,2101.png,0.43369734789391573,0.27689243027888444,0.683046683046683,0.3177142857142857
247,1006.png,0.9169859514687101,0.8466981132075472,0.9065656565656566,0.9276485788113695
248,2808.png,0.6278688524590164,0.45758661887694146,1.0,0.45758661887694146
249,1803.png,0.3313609467455621,0.19858156028368795,0.19858156028368795,1.0
250,1491.png,0.886021505376344,0.7953667953667953,0.976303317535545,0.8110236220472441
251,3012.png,0.0,0.0,0.0,0.0
252,2566.png,0.6796116504854368,0.5147058823529411,0.5147058823529411,1.0
253,841.png,0.9385908209437621,0.8842874543239951,0.9850746268656716,0.8962962962962963
254,2922.png,0.9212022745735173,0.8539156626506024,0.9935747663551402,0.8586572438162544
255,2359.png,0.8111282843894899,0.6822672906916276,0.7818831942789034,0.8426461143224149
256,1304.png,0.9012345679012346,0.8202247191011236,0.8984615384615384,0.9040247678018576
257,1063.png,0.8934092758340113,0.8073529411764706,0.8133333333333334,0.9909747292418772
258,769.png,0.8903225806451613,0.8023255813953488,0.9474959612277868,0.8396564065855404
259,2246.png,0.710232158211522,0.5506666666666666,0.9116997792494481,0.5816901408450704
260,2362.png,0.18269230769230768,0.10052910052910052,0.10052910052910052,1.0
261,550.png,0.9186351706036746,0.8495145631067961,0.875,0.9668508287292817
262,2878.png,0.767306573589296,0.6224634261444077,0.700477960701009,0.8482315112540193
263,1021.png,0.8517241379310344,0.7417417417417418,0.7929373996789727,0.9199255121042831
264,197.png,0.8018713450292397,0.6692698164779383,0.6864237084501401,0.9640044994375703
265,1274.png,0.9469790382244142,0.8992974238875878,0.9795918367346939,0.9164677804295943
266,915.png,0.742676622630672,0.5906806761078118,0.6050538137576041,0.9613382899628253
267,2360.png,0.5773348098929494,0.4058121432278153,0.4943109987357775,0.6938775510204082
268,1553.png,0.8235294117647057,0.7,0.7129629629629629,0.9746835443037974
269,2262.png,0.9584208315833683,0.9201612903225806,0.9653130287648054,0.9516263552960801
270,2096.png,0.769722814498934,0.6256499133448874,0.6311188811188811,0.9863387978142076
271,2385.png,0.894919168591224,0.8098223615464994,0.8098223615464994,1.0
272,2073.png,0.5172101449275363,0.3488087965791081,0.39639014231169734,0.7439739413680782
273,979.png,0.8625592417061613,0.7583333333333333,0.7777777777777778,0.9680851063829787
274,1658.png,0.8421052631578947,0.7272727272727273,0.7428571428571429,0.9719626168224299
275,864.png,0.7108723837747731,0.5514367816091954,0.5514367816091954,1.0
276,2571.png,0.8585178055822906,0.7521079258010118,0.7521079258010118,1.0
277,1269.png,0.9100529100529101,0.8349514563106796,0.9247311827956989,0.8958333333333334
278,985.png,0.4392059553349876,0.28139904610492844,0.4585492227979275,0.42142857142857143
279,847.png,0.9260237780713342,0.8622386223862238,0.8665018541409147,0.9943262411347518
